Nomor,BondId,BondName,IssuerCode,MatureDate,Rating,Outstanding
1019,PNMP01ASECN2,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap II Tahun 2026 Seri A,PNMP,2029-01-14T07:00:00,idAAA,250000000000.0
1020,SMPNMP01CSECN3,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap III Tahun 2026 Seri C,PNMP,2031-01-14T07:00:00,idAAA(sy),600000000000.0
1021,PNMP01BSECN2,Obligasi Berwawasan Sosial Orange Berkelanjutan I PNM Tahap II Tahun 2026 Seri B,PNMP,2031-01-14T07:00:00,idAAA,250000000000.0
1022,SMPNMP01BSECN3,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap III Tahun 2026 Seri B,PNMP,2029-01-14T07:00:00,idAAA(sy),600000000000.0
1023,SMPNMP01ASECN3,Sukuk Mudharabah Berwawasan Sosial Orange Berkelanjutan I PNM Tahap III Tahun 2026 Seri A,PNMP,2027-01-24T07:00:00,idAAA(sy),300000000000.0
1046,ISSP01ASL,Obligasi Terkait Keberlanjutan I SPINDO Tahun 2024 Seri A,ISSP,2027-07-09T07:00:00,idAAA(cg),33780000000.0
1047,ISSP01CSL,Obligasi Terkait Keberlanjutan I SPINDO Tahun 2024 Seri C,ISSP,2031-07-09T07:00:00,idAAA(cg),200000000000.0
1054,ISSP01BSL,Obligasi Terkait Keberlanjutan I SPINDO Tahun 2024 Seri B,ISSP,2029-07-09T07:00:00,idAAA(cg),766220000000.0
1058,SMPNMP01BCN3,Sukuk Mudharabah Berkelanjutan I PNM Tahap III Tahun 2024 Seri B,PNMP,2027-07-12T07:00:00,idAAA(sy),1330940000000.0
1079,SMFP07CCN6,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap VI Tahun 2024 Seri C,SMFP,2027-08-27T07:00:00,idAAA,728254000000.0
1080,SMFP07BCN6,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap VI Tahun 2024 Seri B,SMFP,2026-08-27T07:00:00,idAAA,192195000000.0
1107,SMPNMP06X2V,Sukuk Mudharabah Jangka Menengah VI PT Permodalan Nasional Madani Tahun 2024 Tahap II,PNMP,2027-10-11T07:00:00,idAAA(sy),262000000000.0
1109,IIFF02BCN2,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap II Tahun 2024 Seri B,IIFF,2027-10-25T07:00:00,idAAA,250000000000.0
1110,IIFF02CCN2,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap II Tahun 2024 Seri C,IIFF,2031-10-25T07:00:00,idAAA,300000000000.0
1112,IIFF02DCN2,Obligasi Berkelanjutan II Indonesia Infrastructure Finance Tahap II Tahun 2024 Seri D,IIFF,2034-10-25T07:00:00,idAAA,250000000000.0
1126,SMPNMP06X3V,Sukuk Mudharabah Jangka Menengah VI PT Permodalan Nasional Madani Tahun 2024 Tahap III,PNMP,2027-11-26T07:00:00,idAAA(sy),110000000000.0
1128,SMFP01SOCN4,Obligasi Berwawasan Sosial Berkelanjutan I Sarana Multigriya Finansial Tahap IV Tahun 2024,SMFP,2029-11-26T07:00:00,idAAA,1200000000000.0
1129,SMFP07BCN7,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap VII Tahun 2024 Seri B,SMFP,2026-11-26T07:00:00,idAAA,153005000000.0
1130,SMFP07CCN7,Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap VII Tahun 2024 Seri C,SMFP,2027-11-26T07:00:00,idAAA,794005000000.0
